Run,Algorithm,Map,Success,Path_Length,Completion_Time,Expanded_Nodes,Collected_Coins,Remaining_Blood
5,Q Learning,Map 2,1,195.0,19.50903964042664,220,3,85
6,Q Learning,Map 2,1,195.0,19.50903964042664,220,3,85
7,Q Learning,Map 2,1,195.0,19.50903964042664,220,3,85
8,Q Learning,Map 2,1,195.0,19.50903964042664,220,3,85
9,Q Learning,Map 2,1,195.0,19.50903964042664,220,3,85
1,Q Learning,Map 3,1,130.3074842143069,12.100931414386821,10,2,70
2,Q Learning,Map 3,1,167.96880884618722,15.595785733351278,10,1,75
3,Q Learning,Map 3,1,191.58287716508107,12.515528325534348,10,0,90
4,Q Learning,Map 3,1,175.57913273799707,17.854862780168258,10,4,75
5,Q Learning,Map 3,1,135.45599908616387,22.09319307129844,10,2,75
6,Q Learning,Map 3,1,159.61042047711973,12.733484984029486,10,2,85
7,Q Learning,Map 3,1,234.65880155826318,11.827203109127842,10,0,80
